# flair_url_clusters.tsv - one row per keyword in a 200 cluster
cluster_url	winner_id	keyword	redundant_tail
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_dinner.jpg	dinner	make dinner	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_dinner.jpg	dinner	prepare dinner	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_dinner.jpg	dinner	romantic dinner	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_drinks.jpg	drinks	drinks	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_fieldhockey.jpg	fieldhockey	field hockey	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_golf.jpg	golf	golf	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_graduation.jpg	graduation	graduation	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_gym.jpg	gym	gym	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_haircut.jpg	haircut	haircut	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_halloween.jpg	halloween	halloween	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_halloween.jpg	halloween	halloween dance	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_hiking.jpg	hiking	hiking	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_islamicnewyear.jpg	islamicnewyear	Islamic New Year	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_karate.jpg	karate	karate	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_kayaking.jpg	kayaking	kayaking	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_lunch.jpg	lunch	christmas eve lunch	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_lunch.jpg	lunch	christmas lunch	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_lunch.jpg	lunch	cook lunch	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_lunch.jpg	lunch	lunch	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_lunch.jpg	lunch	make lunch	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_lunch.jpg	lunch	prepare lunch	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_mardigras.jpg	mardigras	mardi gras	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_mardigras.jpg	mardigras	mardigras	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_massage.jpg	massage	massage	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_newyear.jpg	newyear	Hijri New Year	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_newyear.jpg	newyear	new year	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_newyear.jpg	newyear	Parsi New Year	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_newyear.jpg	newyear	Persian New Year	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_newyear.jpg	newyear	vietnamese new year	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_nowruz.jpg	nowruz	Nowruz	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_pingpong.jpg	pingpong	ping pong	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_pingpong.jpg	pingpong	ping-pong	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_pingpong.jpg	pingpong	pingpong	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_pride.jpg	pride	euro pride	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_pride.jpg	pride	gay pride	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_pride.jpg	pride	lesbian pride	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_pride.jpg	pride	world pride	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_reachout.jpg	reachout	reach out to	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_repair.jpg	repair	fridge repair	yes
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_rhythmicgymnastics.jpg	rhythmicgymnastics	rhythmic gymnastics	no
https://ssl.gstatic.com/tmly/f8944938hffheth4ew890ht4i8/flairs/xxhdpi/img_rowing.jpg	rowing	rowing	no
